,sxkdhz,sxk9u4,sxkdk5,sxk9ee,sxk9ub,sxkdt0,sxkde3,sxkdh5,sxk9g3,sxk9s3,sxk9uv,sxkds3,sxkdmz,sxk9sk,sxkdhf,sxkd5x,sxk9dg,sxkddd,sxkdku,sxk9gb,sxk9us,sxk9tp,sxk9ew,sxkd7z,sxk9u9,sxkdk3,sxk9vr,sxk9gj,sxk9eb,sxkdhd,sxkds8,sxkdsg,sxk9ej,sxk9uk,sxk9g4,sxk9sd,sxkdhj,sxk9ev,sxkd5y,sxk9ur,sxk9e4,sxkdm1,sxkdqj,sxkdhw,sxk9sv,sxk9g9,sxk9ge,sxk9s5,sxkdkd,sxkd5u,sxk9uz,sxk9e8,sxk9v4,sxkdsc,sxk9u2,sxk9e3,sxk9sq,sxkdkp,sxk9e7,sxk9gg,sxkdjp,sxkdse,sxk9s0,sxkdh7,sxk9sn,sxkdt8,sxk9ux,sxk9eq,sxkde1,sxk9vh,sxk9gk,sxkdkt,sxk9sw,sxkdj0,sxk9vm,sxkd7c,sxkdkc,sxkdkk,sxkdt2,sxkde8
Beyoğlu İtfaiye İstasyonu,1171.2815110005658,499.0240547759028,1320.222310302893,141.8978497328292,518.7614559425178,1614.582001088706,1610.3792472499647,931.5146469874253,444.0047707571001,204.84475418499133,719.1017822109553,1620.0077695691602,1640.6806870575272,275.6090405307637,940.5865278957762,1118.7116319403583,279.92338542640044,1686.295672438122,1406.6625245015844,388.4990741995484,641.9465665898932,539.0812656652641,287.8338680997591,1510.7061958365018,513.1155203398272,1232.6956549248284,879.813191429369,651.5612985584731,53.233634550670594,915.9044556992336,1582.556048959001,1740.4450741953372,291.69973472713394,614.1036630255281,511.23412893299235,288.98376996676103,1028.509588712105,243.95566848215864,1070.91046344937,754.318608629996,191.66274342699015,1287.215650340286,1583.0897374258786,1104.1223078177277,421.5755186654581,434.30208003404533,532.0262695297748,189.01332045414904,1294.5409508647392,973.224759001637,806.0976518376715,21.86982218811873,640.8481299200204,1644.7188987590607,433.900071754744,103.79833374854212,350.066664068799,1515.070400721784,169.29622905996553,534.233393025442,1195.2264224213675,1727.2499144813864,126.78024613714877,944.3540323120029,313.7442655695163,1659.1219060459898,777.1485524715026,302.2786999353155,1616.3786702976367,717.3970151114623,588.187627577614,1438.273843962522,396.9084292122449,883.1826545084411,800.878266711262,1217.4785112803854,1265.0169183647706,1377.6757716870727,1635.3448826940137,1558.8322883915791
Mecidiyeköy İtfaiye İstasyonu,1015.1413677268922,343.1057043534032,1167.7726453050038,67.70734340884785,382.7722044679315,1458.5600964461194,1465.231833764923,777.8990658067721,317.5981012603683,187.40914430816136,567.0790505901665,1466.5601117179192,1485.421299597429,159.24770545738588,785.0123958282284,971.6937004750173,288.52060125950806,1550.1494003306493,1250.7522753197718,235.8420038757061,487.8285691590741,419.2445523028975,153.39872222588377,1360.6591915723895,364.59356589967814,1078.2433920026992,731.9272925566363,526.0321124435875,155.65899533395213,759.7651408459047,1427.8074971939136,1585.1590171030853,232.3489744283958,458.06760812836006,396.6205527545471,235.07087864762343,875.2508432553713,89.26943352818641,920.49099587306,598.279086827837,222.2651255441332,1131.169481410222,1429.3899352776082,948.2099046305416,314.45974946402816,292.4631200943747,388.3177774245862,80.84737882804801,1139.081245437193,822.6769593404732,651.991386190644,169.3931100375711,502.08317813547126,1489.2455253736532,281.63864798308697,176.68476620936264,206.8137839006047,1363.0090296059893,141.15896121906218,382.53169159385925,1039.4023539350505,1572.8265210434142,175.0615010430059,788.9216770215788,159.63299495221946,1503.186238075782,621.354632935825,197.15194913691448,1474.1297433214713,571.7419664793332,453.7894235871564,1283.1764707863103,266.33971933186143,730.6848954775768,657.4358966651184,1067.2130226000402,1108.9217703803588,1223.6418790952002,1479.2083052826322,1411.14551820935
Beşiktaş İtfaiye İstasyonu,1124.6445295941246,482.5540889936276,1311.1430346990855,252.80681041654708,410.7885231591882,1570.81573241702,1628.3838110721993,920.5778749796673,516.2640661012802,38.706478311403515,643.8205081456766,1602.9653770585844,1570.961276624572,184.77324338919414,883.0992106050066,1134.0677464592823,455.2758207888366,1728.1104811471225,1367.2557014813897,405.0222485169836,581.6357953597881,402.8866048584424,353.9029167375451,1511.5685723207762,436.853785635583,1211.7043280273372,783.4973168481786,721.4095258989423,139.99737275996145,873.1483321524468,1556.179924434129,1707.8369460416443,429.7664325650217,575.9236942620006,598.8751914511377,119.21717083931888,1018.1686086348916,272.0222281603925,1074.0420278946056,722.6377752428664,371.1288531366796,1233.136352172763,1501.604035567051,1068.079868848818,280.53780687018536,479.20756285989256,568.4675102024628,150.79817801372528,1263.228527800017,977.1371348570161,739.118655129387,213.61627993929693,530.1515521679102,1610.4510925927912,380.3183807864195,289.5761219385407,282.53048007897644,1506.5622924118245,317.51926001251314,545.1115254278388,1137.1706489301705,1702.7200933866607,66.71137229864398,918.2621250390029,289.97654871759335,1598.9518149337796,727.1972165439493,402.67260008462745,1642.9553331481927,619.7927464994344,643.4038931685499,1409.6782692823613,294.0049089560363,804.8084487097345,694.3254379193783,1219.6723920320064,1221.5965962981898,1358.4267888171432,1583.233130172291,1568.5725835702751
Ortaköy İtfaiye İstasyonu,929.7247557132295,365.96776803613153,1146.2554991475047,368.814839704691,196.11789531128198,1372.0453089058544,1485.1139703107851,765.7646675433547,502.9636290018933,205.5260636945387,440.64625595463724,1426.1121228698396,1354.1314725855239,144.36831755587076,685.1844669345661,998.915390787827,588.860350765366,1609.1788138170457,1174.2658241896067,351.57532033429135,398.0377264797602,166.0438593450169,378.552203948349,1352.7732441578814,254.9728289525904,1037.6109212238675,559.101265252518,676.1855315439107,351.1448622471931,688.8030800113843,1371.710340429229,1516.6239118429596,515.4422313244451,417.4660756392203,591.1992446795899,120.27815617308016,859.9811897871726,295.991983663644,927.836830781271,557.4526535502705,522.291103025786,1030.402533275902,1278.330199600086,883.633505908343,49.466414037408754,440.04065053634395,501.11088533317735,223.43796075865225,1078.7547328141325,835.5520434618307,538.4611098356972,414.4920008168887,303.79072368590477,1418.8072692051667,243.49027280755058,463.1084706947514,174.63311067186504,1338.8324769396356,442.03029874373453,450.17305328026634,932.8867746601874,1518.2598386789073,292.7151871162884,748.1295435735543,239.2143107718856,1388.103912590318,543.0594303365989,450.1702913884459,1508.5195795234956,399.19249077902924,588.5135066907613,1225.2029233212995,121.01603317843032,592.364043241844,465.64661757199485,1068.1117228624028,1027.5411207136551,1183.0852314766655,1378.1308962432354,1417.7328114402721
Seyrantepe İtfaiye İstasyonu,782.3436558366727,150.36453078192196,901.3125297640169,283.28433387812356,361.4420510777613,1214.8645443951045,1187.013238797114,518.1587298295401,83.56899577558569,435.9684093353984,414.1405386670687,1202.8970252134816,1267.7810582131062,315.90369384628605,576.1823776209941,695.0953020235244,365.04440265571,1269.8912897881276,1005.8522637088246,75.16653200013874,325.9371861559622,441.86251274630297,136.7200133165533,1088.2114379778932,285.83194672337135,820.6506019484251,590.7474334006363,258.736948088644,434.6754524925319,533.3621721545155,1170.5291809195407,1331.2466765542051,242.66933184976915,263.7524623588407,167.46085216107406,438.0566609375806,612.9869533012321,196.22503593800053,649.3338161810797,370.3597369639823,367.15718303851827,903.2810250191569,1227.235397289682,706.3875407428553,404.38343533736503,13.83240801322576,108.52495190414248,315.0843879956208,888.8400375272017,552.0862514117441,470.47813799243596,429.95847572745646,437.0888138881156,1237.342989644261,215.4244624301168,389.87918661825324,252.05809450319268,1095.043307066189,295.0353585572371,125.90621653385442,818.7842968479184,1313.3066930660746,451.5497950037778,542.4739023032947,194.2054323387971,1274.7708800191488,416.92543413079653,159.64494194758004,1194.4141776515007,460.61886654089164,177.58848919748803,1028.863099479528,316.57759707593135,558.4127309333988,546.961244630566,795.4669631404712,870.390867378516,963.1443726374996,1242.998340598886,1135.247507946301
İstinye İtfaiye İstasyonu,532.9291844572291,323.73071158557866,783.5435112630997,639.2393496062132,223.49205154637923,966.5711486549814,1143.2387884477228,449.57668495311077,549.1224244724496,596.2278548690155,91.47987503754639,1041.3150837314922,941.5730625708939,464.4462109759615,293.92205381273754,693.6711082065568,810.9047633606713,1299.811450327531,775.3957656082046,431.4493837215503,157.67712187006742,256.3794132978257,545.4503694197961,992.4314408051345,223.19186074676378,665.4728419931454,149.400156008256,600.5495889145216,708.1945203553606,322.6869730071023,979.2077438851212,1116.3711829529047,696.2992503551436,231.23508937319698,609.3801097839635,524.8615126652915,525.709132340837,518.2081114060534,609.0657152795586,267.5193008734974,781.2391247268572,624.2396829357137,867.8315947009872,502.6444808845118,363.7383785140935,479.0217937642583,456.0841321564451,544.9935306481192,691.1737660804578,535.8641994621656,158.82380715541828,750.1962414297919,109.9074010489422,1018.8549488264539,310.35048180498626,760.7515687341706,382.68226236851444,966.7826575470383,693.351761077111,383.16329686034356,526.4372763728162,1124.2757921898317,671.682535400526,403.3271097080789,431.2019117196949,976.2412038868181,207.2828181724477,607.9537365767833,1178.8836038283962,15.257992248630632,525.8514412941804,834.7192212689772,343.2546613472802,184.24977350597993,73.91539856481043,729.7653512545592,629.7232236682786,804.6923075949223,968.6234802135552,1066.8407595685012
Sarıyer İtfaiye İstasyonu,126.09955585391913,548.8458662564022,376.09783219788585,921.4564027331237,610.0162232387456,572.3742274026328,742.5639413214666,210.74798495141462,700.1473337585977,960.0784712130925,365.7574209774853,625.6297437332443,605.086711369524,814.8155966763891,122.63329940979419,367.0436782947968,1025.107474243256,920.5951087643433,369.2763282250458,667.5170392829399,417.07976275273495,665.5234866050591,787.3588909647187,582.5546674100967,562.9927450114235,254.41391402950802,316.75379891959744,613.3848295601161,1037.1816798250936,130.82354129391769,566.5005036611992,711.2983877031002,902.8611189457798,432.3042189671616,710.6014412896475,904.4790218381363,199.9225208047577,803.7481227325321,282.0171238342282,294.8474400412436,1028.9262806270053,241.87284760412211,571.8616715207497,90.75076711659837,756.6593733097986,658.6674144786749,577.6696862500513,876.8616043910773,275.5026602719249,272.7948336543263,268.1985395954475,1058.9081167721183,520.7783692691567,613.5394461047964,622.2002428003914,1040.2733956468464,718.3040168401657,552.0730694961434,951.5638260952786,536.8459479672459,157.06874312962796,712.7540324201916,1020.3287038422096,143.67585415950396,734.6825884107936,614.5298422574374,272.0420025871191,822.3817205338282,786.4393539388483,425.0366918608459,589.2007291545665,420.57574309150755,709.2409734952361,238.6570373489895,402.7229321440579,350.840606380615,223.01222616317446,389.0414123734813,589.2464996366552,661.4980380538054
Şişli İtfaiye İstasyonu,1150.8449148863112,490.1051033811541,1260.9349772019802,151.1394870215483,590.75322214076,1583.3125852210796,1522.4315211860062,884.6197935363657,353.6386227099749,365.2548024938808,744.6739031692201,1563.4451206155595,1634.5955382029658,376.76996473414295,937.9183181979572,1041.464115656558,96.3266526499314,1577.3355798778714,1374.3358256213955,367.6427401217193,658.8739681524146,634.7305581043394,245.1938621828481,1439.2373037837735,557.4652406021476,1186.3189535365084,917.774994546375,542.8039047702495,234.32882047216597,899.9886516129341,1535.176436930089,1697.005224897653,151.62861214815436,612.5684091570538,396.09183513532696,436.34763494771397,977.5985754647093,263.03321053949765,1006.154768896898,735.9747668873208,7.846412442041048,1271.3629128685566,1589.6840370576708,1075.2847919981878,532.0416078228898,374.7713165658175,466.82926170557187,293.74094796203224,1256.598697942453,910.8382235458848,818.6865323469145,169.1829872519419,705.3284065298346,1603.981172586367,469.3881994406265,80.67637401806226,414.21287608618604,1452.0596029835915,86.26795577180013,494.15839726295485,1185.3216360432818,1676.3695347551175,303.4458410094624,911.3328449577858,351.4893045991165,1643.290425329188,774.931566070858,211.4779074306228,1520.9495845863712,764.5120564266979,498.45187392161534,1395.1255078703905,480.0798868991893,903.2544158521423,852.4267243614629,1149.9172414336522,1239.2876146687183,1326.781873232173,1611.8977958523278,1478.7766958780708
Hacıosman  İtfaiye İstasyonu,358.03939450030134,315.616159667365,550.3302563184775,688.3036602276983,405.1347312659515,802.6003084854664,897.0587036068521,187.0559108553374,480.55237511039843,734.8851212984484,180.4210848524322,832.4902510981369,835.2574854964481,588.4652567147082,143.42635870507812,431.90058328759926,799.5178829573235,1042.1018247858922,596.1669487547615,434.90822824916927,198.14878267741756,475.08661768110966,555.5939126252262,757.7073455613332,343.81659346665646,442.1802581358761,256.9904004512064,436.2430340517639,805.2734429376649,102.65961204305283,783.1259062100182,935.1245359255121,677.0186366109319,200.210704724201,504.92060272177315,685.4646144281214,270.6545154870809,570.5345775643711,349.4017282996853,64.75982841307068,798.6292676473964,474.9758958821907,792.4472093974244,295.07810693317384,548.1718826352474,432.0461598451832,359.49560284961376,646.3623459206233,490.0492770172542,272.49449699768616,115.78989873248702,825.7698729348019,343.58143642672115,837.9973679503157,393.5927929088205,807.4838354027805,490.95334154242425,742.7097649819783,719.7574883079876,309.57592456415705,386.0941352877615,929.7526920176375,791.14107713157,152.69846089444334,502.71362129372227,847.5905722175834,58.074567673610375,594.1063912348433,927.2170855374991,264.9449426102317,389.81455248594966,636.5445207061277,490.1156853334709,178.60540937166266,291.88584550421245,479.27503836154517,452.47003094988446,588.397483662745,822.112118440461,825.5957896350519
Maden  İtfaiye İstasyonu,108.51226994593581,777.7787294692936,242.15495609874975,1148.960722979996,842.0355911636804,338.78498828611964,586.8426944836357,378.8076413207646,910.4324729750098,1194.1506667209133,597.4996724854667,410.0053734014322,404.62722652527054,1048.790484030458,352.97240298318434,388.5981839816749,1238.5842834842958,793.6707074178154,136.2425961420592,893.7803308096112,651.1631134024601,893.5657916685647,1011.3118529908999,411.9338764817135,797.010537633105,152.66500134696247,519.507862604967,792.4904919177105,1269.213897269043,361.6054221248947,340.97906774014024,478.5341660059396,1117.5242436376789,664.1051388438327,908.277431147239,1138.1990833242803,305.90319150553967,1033.191899793879,338.3545162058428,522.3749495433611,1249.2416798963998,69.35826506162009,407.40162341799487,175.8880061522632,988.7586244158226,876.6123445541142,789.1986894768467,1109.8418448388368,87.5203465631217,393.4978965340077,499.6870157024747,1288.6141546160782,747.357602290232,380.72419688253245,855.7020525692375,1265.9972368564622,952.1163807124009,361.97870023298935,1174.9804956935343,757.1378196808892,128.25251809358204,484.92795216764705,1253.8510512647354,340.05758605551705,966.6498873906718,395.74205302887003,505.8237126970579,1040.7713098612724,644.6177388042216,650.0149542082454,785.8920221704982,201.0844484123365,943.1303297282481,455.93901347434576,614.174688488614,299.71498402521297,11.728479060412836,204.26761613177047,360.9397809043558,499.2329275778365
Kağıthane  İtfaiye İstasyonu,937.7703182540807,331.3826546492079,1021.2584355450631,247.67986617353998,521.1059904226589,1357.4215045091719,1272.714381277524,656.9709750582389,123.27664410231318,474.22957224300285,595.4580840610322,1323.4999380764657,1426.8842809610462,399.900364853558,746.4522101614851,795.6361384807781,209.21424876406897,1327.204667002486,1149.450796295255,229.0460321031166,507.29117509921235,592.6676395809585,158.44645908437158,1193.764054915341,455.5383397538322,954.3017856879707,771.9655316471162,292.2586848843063,410.1913094497466,697.2607073378563,1299.9516983370668,1463.1204770201305,99.06378086380393,444.0236034123769,145.5474253161846,508.6153106293294,745.4836893040161,244.95841617678988,765.8771387001437,538.5701808493112,245.76455022758535,1060.0104720970355,1393.3727188987284,856.9748912703654,528.3454751889477,178.66692109447996,245.73686651110808,356.9821232333809,1029.1669090422904,672.9473577852847,649.0503488009876,375.02263375355733,610.197750426117,1372.1015968109818,374.5211370300638,304.4499364054924,374.8667159032057,1209.7377449386045,211.2159770417188,296.60776536495905,980.4379318861443,1438.6814397789424,454.69710628729337,693.4714410575306,301.9596570984219,1427.8325874023974,591.8024231143842,91.52238799307466,1270.4166075587461,640.5616340152052,255.09711756346064,1163.185782743765,448.04311841660035,737.3491978091652,727.505321919891,907.2005170699676,1020.681415355943,1090.9497944153502,1391.1237420735768,1230.6986267623304
